model,seed,epoch,train_loss,val_metric,val_mse
unimol,2024,1,1.2423,0.8108,1.4487
unimol,2024,2,0.7611,0.6209,1.105
unimol,2024,3,0.7328,0.5211,0.9274
unimol,2024,4,0.5571,0.3858,0.6852
unimol,2024,5,0.4939,0.3868,0.692
unimol,2024,6,0.4334,0.3336,0.5943
unimol,2024,7,0.3951,0.2561,0.4558
unimol,2024,8,0.3076,0.2543,0.4538
unimol,2024,9,0.2568,0.2792,0.4965
unimol,2024,10,0.23,0.1712,0.3038
unimol,2024,11,0.1852,0.1582,0.2813
unimol,2024,12,0.1789,0.1337,0.2355
unimol,2024,13,0.1619,0.0879,0.1543
unimol,2024,14,0.1157,0.084,0.1488
unimol,2024,15,0.1022,0.0968,0.1712
unimol,2024,16,0.0884,0.0784,0.1397
unimol,2024,17,0.0938,0.0965,0.172
unimol,2024,18,0.0736,0.0649,0.1157
unimol,2024,19,0.0732,0.0622,0.11
unimol,2024,20,0.0613,0.0454,0.0808
unimol,2024,21,0.0629,0.063,0.1115
unimol,2024,22,0.0498,0.0365,0.064
unimol,2024,23,0.0446,0.0761,0.1347
unimol,2024,24,0.0514,0.0436,0.0757
unimol,2024,25,0.0373,0.0568,0.0997
unimol,2024,26,0.0355,0.0273,0.0488
unimol,2024,27,0.0311,0.0278,0.0497
unimol,2024,28,0.0302,0.0362,0.0644
unimol,2024,29,0.0301,0.029,0.0516
unimol,2024,30,0.0265,0.0375,0.0663
unimol,2024,31,0.0237,0.0443,0.0779
unimol,2024,32,0.0243,0.0336,0.06
unimol,2024,33,0.0199,0.0206,0.0367
unimol,2024,34,0.0208,0.0267,0.0478
unimol,2024,35,0.0236,0.0194,0.0345
unimol,2024,36,0.0146,0.018,0.0321
unimol,2024,37,0.0158,0.0183,0.0325
unimol,2024,38,0.0125,0.0159,0.0282
unimol,2024,39,0.0141,0.0148,0.0264
unimol,2024,40,0.0117,0.0235,0.0417
unimol,2024,41,0.0121,0.0088,0.0157
unimol,2024,42,0.0115,0.0211,0.0377
unimol,2024,43,0.0104,0.0154,0.0273
unimol,2024,44,0.0104,0.0163,0.0289
unimol,2024,45,0.0094,0.0155,0.0276
unimol,2024,46,0.0078,0.0128,0.0227
unimol,2024,47,0.0077,0.0126,0.0223
unimol,2024,48,0.0072,0.0136,0.0241
unimol,2024,49,0.0069,0.0153,0.0271
unimol,2024,50,0.0063,0.0125,0.0223
